year,month,price,mileage,car_type,brand
2016,1,25000,29.9,Sedan,Chevrolet
2016,1,65000,23.5,Sedan,BMW
2016,1,22000,27.7,Sedan,Ford
2016,1,38000,15.5,SUV,Toyota
2016,1,35000,39.7,Convertible,Ford
2016,1,75000,47.8,Sedan,Mercedes
2016,2,45000,44.5,Sedan,Toyota
2016,2,28000,38.8,SUV,Honda
2016,2,40000,29.4,Sedan,Hyundai
2016,2,48000,20.5,Sedan,Subaru
2016,2,18000,48.5,Sedan,Toyota
2016,2,40000,24.7,Sedan,Toyota
2016,2,75000,24.0,Sedan,BMW
2016,2,70000,28.1,Sedan,BMW
2016,2,15000,23.5,SUV,Kia
2016,2,50000,31.7,Coupe,Audi
2016,2,22000,47.1,Sedan,Toyota
2016,2,75000,30.0,Sedan,BMW
2016,2,18000,32.5,Hatchback,Hyundai
2016,2,55000,40.4,Sedan,Honda
2016,2,60000,30.8,Sedan,BMW
2016,2,35000,29.3,SUV,Hyundai
2016,2,100000,16.8,Sedan,BMW
2016,2,45000,34.6,Sedan,Subaru
2016,2,40000,16.9,SUV,Toyota
2016,2,55000,30.7,Sedan,Toyota
2016,2,40000,36.0,SUV,Hyundai
2016,2,20000,35.0,SUV,Ford
2016,2,48000,28.2,Pickup,Toyota
2016,2,42000,45.9,SUV,Ford
2016,2,120000,39.2,SUV,Tesla
2016,2,75000,48.5,SUV,Mercedes
2016,2,20000,30.5,SUV,Honda
2016,2,42000,21.3,SUV,Toyota
2016,2,15000,23.8,Coupe,Toyota
2016,2,65000,27.7,SUV,Toyota
2016,2,35000,27.0,Sedan,Ford
2016,2,25000,24.9,Pickup,Chevrolet
2016,2,32000,47.4,Coupe,Hyundai
2016,2,40000,30.2,Coupe,Toyota
2016,2,90000,41.5,Sedan,BMW
2016,2,15000,20.8,Pickup,Ford
2016,2,50000,23.8,SUV,Audi
2016,2,70000,27.6,Sedan,BMW
2016,2,45000,44.6,Pickup,Audi
2016,2,25000,36.5,SUV,Toyota
2016,2,48000,35.0,Sedan,Toyota
2016,2,45000,18.1,SUV,Audi
2016,2,32000,27.8,Sedan,Honda
2016,2,18000,40.1,SUV,Toyota
2016,2,18000,19.9,Sedan,Ford
2016,2,100000,41.9,Hatchback,Tesla
2016,2,18000,24.7,Sedan,Hyundai
2016,2,42000,17.9,Hatchback,Toyota
2016,2,60000,24.4,SUV,Toyota
2016,2,30000,25.6,Sedan,Nissan
2016,2,35000,19.7,SUV,Honda
2016,2,80000,26.5,Coupe,Mercedes
2016,2,100000,40.7,Convertible,Mercedes
2016,2,35000,42.0,Convertible,Ford
2016,2,35000,33.1,SUV,Hyundai
2016,2,65000,36.5,SUV,Honda
2016,2,75000,34.0,Hatchback,BMW
2016,2,38000,48.4,SUV,Toyota
2016,2,50000,20.7,Pickup,Audi
2016,2,42000,39.8,SUV,Hyundai
2016,2,60000,16.3,Sedan,Audi
2016,2,65000,20.3,SUV,Audi
2016,2,40000,28.6,Pickup,Chevrolet
2016,2,40000,23.3,Sedan,Nissan
2016,2,100000,18.6,Coupe,BMW
2016,2,60000,25.5,SUV,Audi
2016,2,65000,46.0,SUV,Toyota
2016,2,30000,26.7,SUV,Nissan
2016,2,65000,20.7,Convertible,BMW
2016,2,35000,30.6,Coupe,BMW
2016,2,35000,21.4,Coupe,Audi
2016,2,38000,47.2,Sedan,Toyota
2016,2,120000,43.2,Sedan,BMW
2016,2,48000,18.8,SUV,Audi
2016,2,75000,25.0,Convertible,Tesla
2016,2,22000,49.4,Coupe,BMW
2016,2,25000,42.3,Pickup,Toyota
2016,2,100000,38.8,Hatchback,BMW
2016,2,75000,36.6,SUV,Mercedes
2016,2,60000,40.9,Sedan,Audi
2016,3,28000,40.2,Convertible,Ford
2016,3,65000,27.1,Hatchback,BMW
2016,3,20000,40.3,Sedan,Honda
2016,3,50000,16.1,Pickup,BMW
2016,3,15000,17.6,Coupe,Toyota
2016,3,60000,27.1,Pickup,Toyota
2016,3,22000,20.6,Sedan,Honda
2016,3,70000,16.2,Sedan,Tesla
2016,3,45000,47.8,SUV,Honda
2016,3,40000,21.5,Sedan,Nissan
2016,3,18000,16.6,Convertible,Ford
2016,3,75000,38.2,Sedan,Audi
2016,3,20000,22.7,Sedan,Honda
2016,3,65000,19.2,Convertible,Honda
2016,3,70000,28.2,Pickup,Audi
2016,3,15000,38.4,Sedan,Honda
2016,3,42000,48.5,Coupe,Toyota
2016,3,50000,37.6,Sedan,Audi
2016,3,15000,25.5,Hatchback,Hyundai
2016,3,75000,41.6,Hatchback,Mercedes
2016,3,65000,18.7,Convertible,Toyota
2016,3,22000,30.0,Sedan,Kia
2016,3,50000,23.8,SUV,BMW
2016,3,38000,49.0,Sedan,Toyota
2016,3,48000,21.8,Pickup,Toyota
2016,3,120000,47.7,SUV,Mercedes
2016,3,22000,32.4,Sedan,Hyundai
2016,3,42000,49.1,Sedan,Toyota
2016,3,75000,42.3,Coupe,Tesla
2016,3,42000,20.5,Sedan,Kia
2016,3,80000,37.0,SUV,Mercedes
2016,3,50000,36.8,Hatchback,Honda
2016,3,48000,48.8,SUV,Toyota
2016,3,75000,32.4,Coupe,Tesla
2016,3,70000,17.5,Sedan,Tesla
2016,3,50000,35.1,Sedan,Honda
2016,3,35000,38.7,Convertible,Mazda
2016,3,50000,15.2,SUV,Audi
2016,3,25000,24.6,Convertible,BMW
2016,3,50000,31.5,SUV,BMW
2016,3,80000,40.4,Hatchback,BMW
2016,3,45000,38.6,Sedan,Toyota
2016,3,120000,25.8,Sedan,Mercedes
2016,3,20000,25.0,Hatchback,Hyundai
2016,3,55000,16.0,SUV,Honda
2016,3,75000,33.9,SUV,Mercedes
2016,3,15000,35.4,SUV,Hyundai
2016,3,60000,42.8,Sedan,Audi
2016,3,60000,30.8,Coupe,BMW
2016,3,90000,28.3,SUV,BMW
2016,3,22000,29.0,SUV,Honda
2016,3,15000,38.7,SUV,Toyota
2016,3,50000,44.2,Sedan,Subaru
2016,3,35000,28.3,SUV,Nissan
2016,3,45000,36.7,Sedan,Audi
2016,3,20000,49.3,SUV,Ford
2016,3,25000,28.0,Hatchback,Hyundai
2016,3,40000,15.3,SUV,Ford
2016,3,65000,17.2,Sedan,Toyota
2016,3,22000,40.1,Coupe,Audi
2016,3,40000,46.4,SUV,Kia
2016,3,100000,27.2,Sedan,BMW
2016,3,35000,38.8,Sedan,Kia
2016,3,30000,46.9,Coupe,BMW
2016,3,25000,27.6,Sedan,Toyota
2016,3,32000,27.4,Pickup,Chevrolet
2016,3,25000,15.3,Sedan,Toyota
2016,3,75000,24.2,Hatchback,BMW
2016,3,65000,25.2,SUV,Audi
2016,3,42000,44.7,Coupe,Audi
2016,3,40000,25.9,Sedan,Kia
2016,3,38000,25.8,Sedan,Nissan
2016,3,42000,19.0,Sedan,Toyota
2016,3,48000,19.4,Convertible,BMW
2016,3,35000,37.0,SUV,Hyundai
2016,3,38000,26.9,Sedan,Hyundai
2016,3,65000,20.5,Hatchback,Audi
2016,3,50000,17.8,Sedan,Toyota
2016,3,25000,47.5,Pickup,Ford
2016,3,50000,37.1,SUV,Audi
2016,4,38000,34.1,SUV,Hyundai
2016,4,75000,27.5,Convertible,BMW
2016,4,28000,35.3,SUV,Hyundai
2016,4,15000,40.3,Sedan,Hyundai
2016,4,20000,19.9,SUV,Ford
2016,4,25000,18.8,Pickup,Ford
2016,4,28000,24.8,Coupe,Audi
2016,4,45000,46.4,Sedan,Toyota
2016,4,20000,34.7,Sedan,Honda
2016,4,70000,44.8,SUV,BMW
2016,4,100000,43.6,SUV,Mercedes
2016,4,30000,24.4,Sedan,Hyundai
2016,4,70000,31.5,SUV,BMW
2016,4,70000,49.7,Pickup,Mercedes
2016,4,25000,42.5,Pickup,Ford
2016,4,40000,30.7,Sedan,Hyundai
2016,4,18000,37.1,Sedan,Honda
2016,4,35000,24.2,SUV,Honda
2016,4,18000,48.6,SUV,Hyundai
2016,4,60000,38.1,Hatchback,Toyota
2016,4,75000,31.9,Sedan,Audi
2016,4,20000,18.9,SUV,Honda
2016,4,35000,15.9,SUV,Ford
2016,4,35000,19.6,SUV,Hyundai
2016,4,60000,24.2,Hatchback,Subaru
2016,4,60000,23.9,Sedan,Audi
2016,4,28000,30.9,Convertible,Ford
2016,4,65000,41.0,SUV,BMW
2016,4,40000,30.4,Sedan,Nissan
2016,4,40000,47.8,Sedan,Toyota
2016,4,28000,35.0,Pickup,Ford
2016,4,42000,22.6,Sedan,Hyundai
2016,4,65000,34.5,Coupe,BMW
2016,4,38000,48.8,Convertible,BMW
2016,4,32000,25.2,SUV,Honda
2016,4,25000,33.1,Pickup,Toyota
2016,4,120000,32.4,SUV,Mercedes
2016,4,38000,34.3,Sedan,Kia
2016,4,50000,44.1,SUV,BMW
2016,4,30000,38.5,SUV,Nissan
2016,4,45000,39.5,SUV,Honda
2016,4,38000,22.2,SUV,Honda
2016,4,42000,29.3,Pickup,Ford
2016,4,32000,23.4,Sedan,Toyota
2016,4,70000,49.0,Sedan,Audi
2016,4,45000,43.4,Convertible,Subaru
2016,4,100000,24.7,Sedan,Audi
2016,4,22000,17.2,Convertible,Ford
2016,4,30000,39.2,Sedan,Nissan
2016,4,60000,20.6,SUV,Audi
2016,4,20000,29.0,SUV,Kia
2016,4,50000,30.9,Sedan,Audi
2016,4,40000,17.7,Sedan,Honda
2016,4,75000,49.8,SUV,BMW
2016,4,38000,46.0,SUV,Hyundai
2016,4,75000,21.0,Pickup,BMW
2016,4,42000,29.4,SUV,Toyota
2016,4,35000,17.6,SUV,Ford
2016,4,70000,33.5,Coupe,BMW
2016,4,65000,15.2,SUV,Honda
2016,4,45000,32.0,Convertible,Toyota
2016,4,30000,47.5,SUV,Hyundai
2016,4,22000,22.5,SUV,Honda
2016,4,100000,30.4,Pickup,Mercedes
2016,4,100000,29.2,Sedan,BMW
2016,4,70000,17.5,Sedan,BMW
2016,4,100000,22.4,SUV,Audi
2016,4,90000,31.1,SUV,Audi
2016,4,45000,33.1,SUV,BMW
2016,4,55000,40.6,Hatchback,Subaru
2016,4,32000,30.2,Coupe,Toyota
2016,4,18000,37.1,Sedan,Hyundai
2016,4,38000,33.3,Sedan,Hyundai
2016,4,45000,24.5,Pickup,Toyota
2016,4,48000,48.6,Sedan,Toyota
2016,4,28000,37.2,Sedan,Honda
2016,4,20000,27.6,SUV,Toyota
2016,4,45000,36.1,SUV,Audi
2016,4,75000,42.9,Sedan,BMW
2016,4,15000,15.2,Sedan,Honda
2016,5,45000,44.5,Sedan,Toyota
2016,5,100000,47.3,Coupe,BMW
2016,5,32000,18.6,Coupe,Toyota
2016,5,32000,30.1,SUV,Toyota
2016,5,20000,34.2,Pickup,Chevrolet
2016,5,40000,16.7,SUV,Toyota
2016,5,32000,44.6,Hatchback,Toyota
2016,5,30000,23.1,SUV,Toyota
2016,5,50000,48.4,SUV,Honda
2016,5,80000,31.9,Sedan,Audi
2016,5,75000,30.2,Sedan,Mercedes
2016,5,18000,32.9,Sedan,Hyundai
2016,5,25000,34.7,SUV,Toyota
2016,5,15000,45.7,Sedan,Honda
2016,5,50000,16.1,Hatchback,Toyota
2016,5,75000,22.6,SUV,BMW
2016,5,15000,29.2,Sedan,Ford
2016,5,40000,24.3,Coupe,Audi
2016,5,120000,43.4,Hatchback,Tesla
2016,5,45000,35.1,SUV,Toyota
2016,5,38000,17.2,SUV,Honda
2016,5,50000,20.6,Sedan,BMW
2016,5,75000,28.8,Hatchback,Mercedes
2016,5,70000,17.4,Pickup,Tesla
2016,5,60000,19.4,SUV,BMW
2016,5,48000,35.1,Sedan,Toyota
2016,5,32000,44.6,SUV,Honda
2016,5,35000,33.1,Coupe,Audi
2016,5,45000,42.1,Sedan,BMW
2016,5,75000,18.6,Sedan,BMW
2016,5,120000,46.7,Sedan,BMW
2016,5,15000,17.8,Sedan,Ford
2016,5,60000,43.8,SUV,Toyota
2016,5,55000,31.7,SUV,BMW
2016,5,90000,28.7,Hatchback,BMW
2016,5,48000,17.6,SUV,Audi
2016,5,50000,34.0,Sedan,BMW
2016,5,90000,34.0,Sedan,Tesla
2016,5,75000,25.8,Pickup,Tesla
2016,5,70000,22.1,Pickup,Audi
2016,5,32000,49.0,SUV,Ford
2016,5,42000,34.1,SUV,Kia
2016,5,65000,28.4,SUV,Subaru
2016,5,120000,17.8,SUV,Audi
2016,5,100000,36.1,SUV,Tesla
2016,5,45000,32.0,SUV,Toyota
2016,5,80000,29.1,SUV,Tesla
2016,5,50000,19.6,SUV,Toyota
2016,5,38000,31.7,Hatchback,Ford
2016,5,90000,49.1,Sedan,Mercedes
2016,5,60000,21.7,Pickup,Audi
2016,5,15000,23.5,Sedan,Honda
2016,5,15000,17.5,Sedan,Toyota
2016,5,20000,33.6,Hatchback,Toyota
2016,5,40000,22.9,SUV,Ford
2016,5,15000,16.4,Convertible,BMW
2016,5,70000,33.0,Hatchback,Audi
2016,5,80000,43.2,SUV,Audi
2016,5,15000,24.7,SUV,Ford
2016,5,90000,47.7,SUV,BMW
2016,5,50000,40.3,SUV,Subaru
2016,5,45000,24.3,Sedan,Subaru
2016,5,25000,49.2,Coupe,Audi
2016,5,38000,46.3,SUV,Toyota
2016,5,25000,21.1,Sedan,Ford
2016,5,55000,35.3,Hatchback,Honda
2016,5,48000,37.7,Pickup,Toyota
2016,5,75000,40.3,Pickup,Mercedes
2016,5,25000,17.7,Sedan,Honda
2016,5,15000,34.0,SUV,Hyundai
2016,5,55000,29.2,SUV,Toyota
2016,5,35000,31.4,SUV,Kia
2016,5,45000,39.5,Pickup,Audi
2016,5,30000,44.7,Convertible,BMW
2016,5,90000,19.6,SUV,Tesla
2016,5,30000,33.3,SUV,Toyota
2016,5,90000,27.5,Sedan,Mercedes
2016,5,28000,28.8,Coupe,Audi
2016,5,15000,20.1,SUV,Toyota
2016,5,90000,35.2,SUV,Mercedes
2016,6,35000,28.9,Sedan,Chevrolet
2016,6,75000,46.7,Convertible,Audi
2016,6,15000,49.9,Pickup,Ford
2016,6,100000,24.6,Hatchback,Mercedes
2016,6,80000,42.1,Sedan,BMW
2016,6,25000,29.5,Hatchback,Honda
2016,6,22000,18.6,Convertible,BMW
2016,6,90000,20.1,Coupe,BMW
2016,6,75000,35.6,SUV,Mercedes
2016,6,70000,15.6,Coupe,Mercedes
2016,6,70000,20.7,SUV,BMW
2016,6,90000,47.1,Sedan,Audi
2016,6,30000,30.5,Sedan,Honda
2016,6,120000,44.3,Coupe,BMW
2016,6,30000,29.9,Convertible,Mazda
2016,6,50000,15.6,Convertible,Audi
2016,6,22000,48.8,Coupe,BMW
2016,6,80000,45.2,Hatchback,Audi
2016,6,60000,39.8,Pickup,Subaru
2016,6,120000,28.8,Sedan,BMW
2016,6,18000,23.5,Sedan,Toyota
2016,6,120000,44.1,Sedan,Mercedes
2016,6,70000,36.3,Convertible,Mercedes
2016,6,48000,41.5,Sedan,Toyota
2016,6,90000,32.8,Sedan,Mercedes
2016,6,55000,49.1,SUV,BMW
2016,6,40000,20.5,SUV,Toyota
2016,6,18000,41.9,Coupe,BMW
2016,6,45000,19.1,Sedan,Subaru
2016,6,45000,34.2,Sedan,BMW
2016,6,45000,29.0,SUV,Honda
2016,6,80000,38.1,Pickup,Mercedes
2016,6,35000,17.6,SUV,Hyundai
2016,6,30000,32.4,SUV,Toyota
2016,6,75000,25.6,SUV,Mercedes
2016,6,20000,49.7,SUV,Toyota
2016,6,30000,34.7,SUV,Nissan
2016,6,42000,41.3,Sedan,Nissan
2016,6,120000,44.0,Sedan,Audi
2016,6,120000,42.5,Sedan,Mercedes
2016,6,42000,18.3,Pickup,Ford
2016,6,40000,33.2,Sedan,Ford
2016,6,18000,34.6,SUV,Toyota
2016,6,20000,39.1,Sedan,Chevrolet
2016,6,75000,39.7,SUV,Tesla
2016,6,32000,38.6,SUV,Nissan
2016,6,75000,38.1,Sedan,BMW
2016,6,100000,43.4,Sedan,Mercedes
2016,6,120000,42.8,SUV,BMW
2016,6,48000,32.4,SUV,Subaru
2016,6,15000,38.6,SUV,Hyundai
2016,6,15000,16.1,Convertible,BMW
2016,6,70000,26.7,SUV,Audi
2016,6,120000,25.1,Hatchback,BMW
2016,6,25000,38.2,Sedan,Chevrolet
2016,6,75000,43.6,Sedan,Mercedes
2016,6,120000,26.3,SUV,BMW
2016,6,25000,28.1,SUV,Toyota
2016,6,90000,39.3,SUV,Tesla
2016,6,60000,15.5,Pickup,Audi
2016,6,60000,17.0,Coupe,Audi
2016,6,30000,33.1,Hatchback,Honda
2016,6,48000,36.2,Sedan,Honda
2016,6,42000,19.7,Sedan,Nissan
2016,6,20000,42.9,Sedan,Ford
2016,6,48000,21.8,SUV,BMW
2016,6,22000,30.7,SUV,Toyota
2016,6,75000,49.3,Sedan,Tesla
2016,6,48000,37.6,SUV,Honda
2016,6,15000,29.0,SUV,Toyota
2016,6,50000,38.8,Pickup,Audi
2016,6,100000,46.6,SUV,Audi
2016,6,45000,28.7,Convertible,Honda
2016,6,42000,26.9,SUV,Hyundai
2016,6,18000,27.4,SUV,Honda
2016,6,48000,47.3,SUV,Audi
2016,6,28000,39.2,SUV,Hyundai
2016,6,18000,15.5,SUV,Hyundai
2016,6,42000,16.6,SUV,Toyota
2016,6,65000,19.3,Pickup,Honda
2016,7,100000,39.6,SUV,Mercedes
2016,7,45000,44.1,SUV,Toyota
2016,7,42000,45.2,SUV,Hyundai
2016,7,15000,33.5,Coupe,Hyundai
2016,7,120000,39.4,Coupe,Mercedes
2016,7,90000,18.9,Sedan,Mercedes
2016,7,70000,38.3,Sedan,Mercedes
2016,7,100000,20.8,Sedan,Tesla
2016,7,18000,22.0,SUV,Kia
2016,7,40000,31.4,SUV,Nissan
2016,7,18000,23.6,Coupe,Audi
2016,7,35000,25.6,Sedan,Ford
2016,7,28000,44.2,Hatchback,Toyota
2016,7,22000,44.2,SUV,Hyundai
2016,7,45000,24.7,SUV,Audi
2016,7,65000,31.8,SUV,Toyota
2016,7,18000,26.5,Pickup,Ford
2016,7,42000,19.0,SUV,Toyota
2016,7,18000,15.4,SUV,Toyota
2016,7,32000,31.5,SUV,Toyota
2016,7,120000,34.9,Sedan,Mercedes
2016,7,25000,20.8,SUV,Honda
2016,7,20000,44.4,Convertible,Mazda
2016,7,38000,31.1,SUV,Honda
2016,7,25000,36.6,SUV,Honda
2016,7,60000,17.3,Sedan,BMW
2016,7,48000,38.9,Pickup,BMW
2016,7,42000,20.5,Sedan,Toyota
2016,7,48000,22.7,Sedan,Subaru
2016,7,70000,33.9,SUV,Tesla
2016,7,100000,20.9,Sedan,Audi
2016,7,15000,40.7,Hatchback,Ford
2016,7,50000,24.8,Sedan,BMW
2016,7,15000,42.5,Pickup,Ford
2016,7,32000,31.5,SUV,Toyota
2016,7,45000,22.6,SUV,Toyota
2016,7,42000,30.0,Sedan,Chevrolet
2016,7,32000,20.7,SUV,Toyota
2016,7,38000,20.9,Sedan,Toyota
2016,7,48000,41.7,SUV,Honda
2016,7,120000,22.9,Pickup,Mercedes
2016,7,18000,28.9,Sedan,Hyundai
2016,7,25000,47.2,SUV,Ford
2016,7,80000,28.2,SUV,Mercedes
2016,7,28000,22.8,SUV,Toyota
2016,7,32000,19.8,SUV,Nissan
2016,7,22000,19.5,Coupe,Hyundai
2016,7,90000,19.2,Sedan,Audi
2016,7,70000,49.9,Coupe,Mercedes
2016,7,80000,24.7,Sedan,Audi
2016,7,18000,37.1,Sedan,Chevrolet
2016,7,32000,22.0,Hatchback,Toyota
2016,7,30000,21.7,SUV,Hyundai
2016,7,30000,40.5,Sedan,Honda
2016,7,35000,34.3,Pickup,Ford
2016,7,48000,35.7,Hatchback,Audi
2016,7,40000,22.4,Sedan,Hyundai
2016,7,55000,16.8,Coupe,Audi
2016,7,45000,16.6,SUV,Honda
2016,7,70000,24.5,SUV,BMW
2016,7,22000,30.7,SUV,Toyota
2016,7,90000,26.5,SUV,Mercedes
2016,7,18000,39.3,Pickup,Chevrolet
2016,7,90000,39.4,SUV,Mercedes
2016,7,40000,45.0,SUV,Hyundai
2016,7,38000,47.8,Sedan,Hyundai
2016,7,42000,25.7,SUV,Ford
2016,7,45000,46.8,SUV,Honda
2016,7,60000,48.2,Sedan,Honda
2016,7,80000,17.1,Sedan,Mercedes
2016,7,45000,28.6,SUV,Toyota
2016,7,50000,43.6,Hatchback,Audi
2016,7,25000,15.2,Sedan,Honda
2016,7,55000,32.0,SUV,Honda
2016,7,18000,16.9,SUV,Ford
2016,7,22000,24.4,Sedan,Honda
2016,7,20000,32.6,Sedan,Nissan
2016,7,60000,49.8,SUV,Audi
2016,7,32000,32.1,Sedan,Honda
2016,7,80000,22.4,Hatchback,Mercedes
2016,8,65000,27.0,SUV,Honda
2016,8,25000,24.6,Convertible,BMW
2016,8,90000,22.2,Coupe,Mercedes
2016,8,65000,40.8,SUV,Honda
2016,8,80000,41.5,Hatchback,Audi
2016,8,38000,42.7,Sedan,Honda
2016,8,55000,47.1,Sedan,Subaru
2016,8,60000,49.0,Pickup,Audi
2016,8,120000,27.9,SUV,Mercedes
2016,8,25000,28.0,Hatchback,Ford
2016,8,50000,18.3,Hatchback,Subaru
2016,8,48000,49.7,Pickup,BMW
2016,8,45000,24.0,SUV,Audi
2016,8,48000,17.3,SUV,Subaru
2016,8,18000,38.0,Sedan,Nissan
2016,8,50000,21.6,Hatchback,Honda
2016,8,32000,48.0,Pickup,Chevrolet
2016,8,90000,32.2,SUV,Audi
2016,8,45000,49.5,Sedan,Subaru
2016,8,60000,22.7,Pickup,Audi
2016,8,18000,25.4,SUV,Kia
2016,8,40000,28.9,Coupe,BMW
2016,8,48000,17.3,Convertible,BMW
2016,8,75000,29.7,SUV,BMW
2016,8,80000,33.0,Hatchback,Mercedes
2016,8,20000,44.6,Sedan,Ford
2016,8,45000,35.9,Sedan,Audi
2016,8,75000,25.4,Hatchback,Tesla
2016,8,90000,36.3,Pickup,Tesla
2016,8,65000,41.6,SUV,Audi
2016,8,22000,18.0,Sedan,Toyota
2016,8,120000,19.5,Sedan,BMW
2016,8,65000,24.4,Sedan,Toyota
2016,8,70000,23.4,Pickup,Audi
2016,8,15000,18.6,SUV,Honda
2016,8,45000,19.5,Pickup,Toyota
2016,8,80000,32.1,Convertible,BMW
2016,8,65000,44.9,Coupe,Toyota
2016,8,70000,43.7,Pickup,BMW
2016,8,45000,15.9,Sedan,Toyota
2016,8,90000,41.0,Coupe,Tesla
2016,8,40000,38.2,SUV,Toyota
2016,8,65000,26.6,Sedan,BMW
2016,8,60000,40.0,Sedan,Honda
2016,8,25000,36.3,SUV,Toyota
2016,8,48000,36.4,Hatchback,Audi
2016,8,22000,30.4,Sedan,Toyota
2016,8,28000,33.5,SUV,Hyundai
2016,8,50000,18.8,Sedan,BMW
2016,8,30000,29.1,Sedan,Chevrolet
2016,8,42000,46.5,Convertible,BMW
2016,8,42000,37.7,Coupe,Toyota
2016,8,48000,33.7,SUV,Toyota
2016,8,60000,28.6,SUV,BMW
2016,8,40000,46.9,SUV,Toyota
2016,8,55000,28.6,Convertible,Honda
2016,8,30000,43.8,SUV,Ford
2016,8,42000,27.5,Pickup,Chevrolet
2016,8,20000,18.2,SUV,Hyundai
2016,8,100000,35.7,SUV,Mercedes
2016,8,22000,28.0,SUV,Toyota
2016,8,60000,25.3,Sedan,BMW
2016,8,25000,23.1,SUV,Kia
2016,8,80000,37.4,Sedan,BMW
2016,8,65000,27.9,Sedan,BMW
2016,8,50000,17.1,SUV,Toyota
2016,8,75000,39.4,Pickup,Audi
2016,8,75000,40.4,Sedan,Tesla
2016,8,15000,38.3,Sedan,Nissan
2016,8,40000,47.7,Sedan,Hyundai
2016,8,50000,42.7,SUV,Audi
2016,8,50000,34.9,Hatchback,Toyota
2016,8,65000,49.8,Hatchback,Honda
2016,8,42000,23.7,Convertible,Mazda
2016,8,50000,27.9,SUV,BMW
2016,8,15000,18.0,Sedan,Nissan
2016,8,100000,41.4,Sedan,Audi
2016,8,15000,41.1,SUV,Toyota
2016,8,35000,18.1,Pickup,Toyota
2016,8,38000,45.2,Convertible,Ford
2016,9,70000,46.9,SUV,Mercedes
2016,9,75000,48.2,Coupe,Mercedes
2016,9,35000,49.4,Sedan,Toyota
2016,9,30000,26.5,SUV,Hyundai
2016,9,100000,35.3,Sedan,Tesla
2016,9,55000,43.3,SUV,Honda
2016,9,50000,31.7,Hatchback,Honda
2016,9,60000,36.2,Sedan,Honda
2016,9,28000,31.5,SUV,Hyundai
2016,9,28000,37.8,SUV,Honda
2016,9,55000,21.8,SUV,Toyota
